"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","Login with email and password","tests.authentication","Fri Mar 20 17:45:16 UTC 2026","passed","Fri Mar 20 17:45:17 UTC 2026","TestAuthentication","test_authentication","",""
"","259","Create File with Empty Filename","tests.files","Fri Mar 20 17:45:19 UTC 2026","passed","Fri Mar 20 17:45:20 UTC 2026","TestFiles","test_files","",""
"","0","test_logout","tests.pytest","Fri Mar 20 17:45:21 UTC 2026","passed","Fri Mar 20 17:45:21 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","266","Create File","tests.files","Fri Mar 20 17:45:19 UTC 2026","passed","Fri Mar 20 17:45:19 UTC 2026","TestFiles","test_files","",""
"","0","test_regression_case","tests.pytest","Fri Mar 20 17:45:21 UTC 2026","passed","Fri Mar 20 17:45:21 UTC 2026","","test_pytest_markers","",""
"","255","Create File with Empty Directory","tests.files","Fri Mar 20 17:45:21 UTC 2026","skipped","Fri Mar 20 17:45:21 UTC 2026","TestFiles","test_files","",""
"","298","Get courses","tests.courses","Fri Mar 20 17:45:18 UTC 2026","passed","Fri Mar 20 17:45:18 UTC 2026","TestCourses","test_courses","",""
"","301","Update course","tests.courses","Fri Mar 20 17:45:17 UTC 2026","passed","Fri Mar 20 17:45:18 UTC 2026","TestCourses","test_courses","",""
"","0","test_login","tests.pytest","Fri Mar 20 17:45:22 UTC 2026","passed","Fri Mar 20 17:45:22 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","20","Delete File","tests.files","Fri Mar 20 17:45:21 UTC 2026","passed","Fri Mar 20 17:45:21 UTC 2026","TestFiles","test_files","",""
"","0","test_critical_login","tests.pytest","Fri Mar 20 17:45:21 UTC 2026","passed","Fri Mar 20 17:45:21 UTC 2026","","test_pytest_markers","",""
"","1","test_password_reset","tests.pytest","Fri Mar 20 17:45:21 UTC 2026","passed","Fri Mar 20 17:45:21 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","0","Create course","tests.courses","Fri Mar 20 17:45:18 UTC 2026","passed","Fri Mar 20 17:45:18 UTC 2026","TestCourses","test_courses","",""
"","0","test_forgot_password","tests.pytest","Fri Mar 20 17:45:21 UTC 2026","passed","Fri Mar 20 17:45:21 UTC 2026","TestUserInterface","test_pytest_markers","",""
"","12","Get User Me","tests.users","Fri Mar 20 17:45:23 UTC 2026","passed","Fri Mar 20 17:45:23 UTC 2026","TestUsers","test_users","",""
"","15","Get File","tests.files","Fri Mar 20 17:45:20 UTC 2026","passed","Fri Mar 20 17:45:20 UTC 2026","TestFiles","test_files","",""
"","261","Get File with Invalid File Id","tests.files","Fri Mar 20 17:45:22 UTC 2026","passed","Fri Mar 20 17:45:22 UTC 2026","TestFiles","test_files","",""
"","522","Create User","tests.users","Fri Mar 20 17:45:21 UTC 2026","passed","Fri Mar 20 17:45:22 UTC 2026","TestUsers","test_users","",""
